page_url,ranking
https://www.amazon.com/profilewidget/bio/amzn1.account.AHKJZ4IPIKVEHOGWF4HGTPPEPSQA/?view=visitor,265349
https://www.amazon.com/profilewidget/bio/amzn1.account.AFJDMFNTNHAXSOEFQTYJBZ3GC3JA/?view=visitor,18272
https://www.amazon.com/profilewidget/bio/amzn1.account.AFEJ525BL7V2HPSE2B3PZT6HCQBQ/?view=visitor,30488
https://www.amazon.com/profilewidget/bio/amzn1.account.AERQXSCVV26P6LJJKNBGY4SHOWVQ/?view=visitor,3362621
https://www.amazon.com/profilewidget/bio/amzn1.account.AHW2CP65AIVXKGQPKYBYZCG4EPKQ/?view=visitor,6554504
https://www.amazon.com/profilewidget/bio/amzn1.account.AEGXLNMFBDSAUVCOTQFKBHZZMNFA/?view=visitor,385256
https://www.amazon.com/profilewidget/bio/amzn1.account.AHV3IIAWWDHQLKCRDRIFESOGFPPA/?view=visitor,311801
https://www.amazon.com/profilewidget/bio/amzn1.account.AHVCPOUSAAHGUE6TUS3H2AT47EOA/?view=visitor,1112449
https://www.amazon.com/profilewidget/bio/amzn1.account.AFMOWN5XO6AOXSBICJY7JIBBO3PQ/?view=visitor,1496675
https://www.amazon.com/profilewidget/bio/amzn1.account.AHU3ROQXDZVSC76IB4V5V42UHCTQ/?view=visitor,1311222
https://www.amazon.com/profilewidget/bio/amzn1.account.AESOOM24OB6YTYKZ5FJE6UCKLQ6A/?view=visitor,84475811
https://www.amazon.com/profilewidget/bio/amzn1.account.AHTO23VBN6PF7VANXJ4C32AYRIHA/?view=visitor,182329
https://www.amazon.com/profilewidget/bio/amzn1.account.AGYF3JWOZ4JYSBNRWFTYNHOMCGLQ/?view=visitor,87951
https://www.amazon.com/profilewidget/bio/amzn1.account.AGI4JBA5CEE2JJBXEK5WYXMERVFQ/?view=visitor,3139393
https://www.amazon.com/profilewidget/bio/amzn1.account.AGJTZ2UECEV664RH4X2L3YIP4YIA/?view=visitor,83325834
https://www.amazon.com/profilewidget/bio/amzn1.account.AERHW4VVNBXYYRYNC2QNKVMOWSBA/?view=visitor,65535
https://www.amazon.com/profilewidget/bio/amzn1.account.AF2BAZJ236TJLOXO2KP25QETWF4Q/?view=visitor,59588
https://www.amazon.com/profilewidget/bio/amzn1.account.AG3IDLS7PGBE77CLQ7WTINM4OSYA/?view=visitor,422542
https://www.amazon.com/profilewidget/bio/amzn1.account.AFPOUQSVTY6Q2TTXZGAFWHNBTKIQ/?view=visitor,3382866
https://www.amazon.com/profilewidget/bio/amzn1.account.AFEHDQQ6A74GNP2L6TIVYBPLB7VQ/?view=visitor,32717256
https://www.amazon.com/profilewidget/bio/amzn1.account.AFBUY32KBSKL4RFWQESFSHMDDMKA/?view=visitor,450162
https://www.amazon.com/profilewidget/bio/amzn1.account.AF5GHAOSEKG42JJNUKRIVILVWTNA/?view=visitor,697470
https://www.amazon.com/profilewidget/bio/amzn1.account.AEOEVZGOFJN7W6ECMS6X4DK7XVQA/?view=visitor,714937
